Nome Original,Nome Encontrado,OpenAlex_ID,Quantidade de Artigos
Panagiotis D. Bamidis,Panagiotis D. Bamidis,https://openalex.org/A5058926112,41
Kayvan Shokrollahi,Kayvan Shokrollahi,https://openalex.org/A5023450203,34
American Library Association,American Library Association,https://openalex.org/A5112758835,34
Babak Nadjar Araabi,Babak Nadjar Araabi,https://openalex.org/A5083876282,32
Paul Denny,Paul Denny,https://openalex.org/A5011711071,30
Javier Moreno,Javier Moreno,https://openalex.org/A5036097139,25
Hongzhen Li,Hongzhen Li,https://openalex.org/A5100756895,24
Caro Lucas,Caro Lucas,https://openalex.org/A5103382008,24
Juho Leinonen,Juho Leinonen,https://openalex.org/A5041367899,23
Xipeng Qiu,Xipeng Qiu,https://openalex.org/A5044665993,23
Helge Ritter,Helge Ritter,https://openalex.org/A5074989840,23
Eugenia Carrillo,Eugenia Carrillo,https://openalex.org/A5006870785,22
Diyi Yang,Diyi Yang,https://openalex.org/A5089413311,22
Marco Muselli,Marco Muselli,https://openalex.org/A5004748627,20
Shafiq Joty,Shafiq Joty,https://openalex.org/A5005443526,20
Ji-Rong Wen,Ji-Rong Wen,https://openalex.org/A5025631695,20
Rolf Isermann,Rolf Isermann,https://openalex.org/A5031676005,20
David McQuoid–Mason,David McQuoid–Mason,https://openalex.org/A5061374007,20
Robert de Mello Koch,Robert de Mello Koch,https://openalex.org/A5090864146,20
Yang Liu,Yang Liu,https://openalex.org/A5100355638,20
Bálint Németh,Bálint Németh,https://openalex.org/A5101953437,20
Chris Callison-Burch,Chris Callison-Burch,https://openalex.org/A5068508539,19
Gábor Göcsei,Gábor Göcsei,https://openalex.org/A5082897992,19
Chaoyang Zhang,Chaoyang Zhang,https://openalex.org/A5100603447,19
Tat‐Seng Chua,Tat‐Seng Chua,https://openalex.org/A5089404640,18
Sheng Wang,Sheng Wang,https://openalex.org/A5100371335,18
K. C. Park,K. C. Park,https://openalex.org/A5002651476,17
Sima Rafati,Sima Rafati,https://openalex.org/A5045644761,17
Fürst,Thomas Fürst,https://openalex.org/A5024548519,17
Brett A. Becker,Brett A. Becker,https://openalex.org/A5054692443,17
O-Kab Kwon,O-Kab Kwon,https://openalex.org/A5066433262,17
Pierre‐Jean Arnoux,Pierre‐Jean Arnoux,https://openalex.org/A5071452573,17
R. A. Logan,R. A. Logan,https://openalex.org/A5113660040,17
Martin Kozek,Martin Kozek,https://openalex.org/A5020112103,16
Τ. Padmanabhan,Τ. Padmanabhan,https://openalex.org/A5022015565,16
Iryna Gurevych,Iryna Gurevych,https://openalex.org/A5027450194,16
Jimmy de la Torre,Jimmy de la Torre,https://openalex.org/A5036982862,16
Evdokimos Konstantinidis,Evdokimos Konstantinidis,https://openalex.org/A5080462939,16
Damon A. Parrish,Damon A. Parrish,https://openalex.org/A5103818128,16
Jean’ne M. Shreeve,Jean’ne M. Shreeve,https://openalex.org/A5006127080,15
Yangqiu Song,Yangqiu Song,https://openalex.org/A5020880385,15
Zhenchang Xing,Zhenchang Xing,https://openalex.org/A5028641941,15
Stephen MacNeil,Stephen MacNeil,https://openalex.org/A5042822346,15
Himel Mondal,Himel Mondal,https://openalex.org/A5055876308,15
James Prather,James Prather,https://openalex.org/A5065053503,15
Fude Nie,Fude Nie,https://openalex.org/A5068041431,15
